word,AoA,percentage_known,Prevalence,concreteness,valence,arousal,dominance
get,2,0.99,2.26,2.38,6.09,3.67,5.65
bowling,4,1.0,2.34,4.56,6.68,4.05,5.2
may,4,1.0,2.44,3.0,5.55,3.19,5.94
metaphor,12,0.99,2.17,1.94,6.11,4.14,5.36
numerous,6,0.99,2.31,2.57,5.35,3.39,6.25
radar,6,1.0,2.58,4.57,5.32,4.55,5.63
desertion,6,0.96,1.75,1.93,4.0,3.67,4.05
enterprising,12,0.99,2.26,1.86,5.52,4.33,6.2
dishonesty,6,0.99,2.19,1.9,2.05,5.39,4.32
heartburn,6,0.99,2.24,3.39,2.9,4.0,4.25
slave,2,1.0,2.44,4.38,2.06,4.53,2.61
chime,6,0.99,2.26,4.4,6.05,4.1,6.21
bid,4,1.0,2.33,2.71,5.16,4.0,5.67
caller,6,0.99,2.32,3.96,5.52,3.41,5.44
camper,4,1.0,2.43,4.63,5.21,4.53,5.52
wobbly,6,0.98,1.95,3.15,4.71,4.77,4.38
houseboat,6,0.98,2.02,4.74,6.15,5.75,5.69
unending,6,0.98,1.98,1.93,3.16,4.36,4.77
appreciate,6,1.0,2.58,2.23,7.33,3.1,7.0
happiness,2,1.0,2.42,2.6,8.48,6.5,7.05
anticipation,10,0.99,2.24,1.93,5.26,5.39,5.53
fore,8,0.97,1.82,2.52,5.05,4.32,5.52
tidy,6,1.0,2.42,3.03,6.24,2.86,6.75
thumb,4,1.0,2.58,4.96,5.62,3.84,5.79
tissue,2,0.99,2.33,4.93,5.3,3.1,5.32
reminisce,10,0.95,1.62,2.39,6.67,4.09,6.04
improvement,4,0.99,2.18,2.6,6.53,4.95,6.6
wallow,10,0.97,1.83,3.11,4.33,4.3,4.53
bluejay,4,0.95,1.57,4.97,6.64,3.43,5.0
bleed,2,0.99,2.08,4.4,2.47,5.0,3.75
soil,2,1.0,2.34,4.87,5.21,2.76,5.18
freshness,4,0.99,2.12,2.12,7.43,4.1,6.29
feedback,8,0.99,2.32,2.48,5.91,4.17,5.58
gladiator,10,1.0,2.58,4.82,5.21,5.05,4.86
unaffected,8,0.99,2.1,1.77,4.84,3.32,6.45
twig,2,0.98,2.02,4.75,5.47,3.18,5.23
adverse,12,1.0,2.34,2.23,3.68,3.89,3.35
cherry,2,1.0,2.33,4.62,7.05,4.91,5.63
attempt,6,1.0,2.34,2.22,6.0,4.94,5.67
simpleton,8,0.96,1.73,3.12,4.53,3.18,4.11
rig,8,0.99,2.33,4.0,4.32,4.52,5.39
wad,8,0.94,1.51,3.93,4.16,4.11,4.41
vengeance,8,0.99,2.1,2.04,2.53,5.23,4.04
stowaway,4,0.98,1.9,3.72,4.35,4.23,4.83
bout,8,0.93,1.45,3.0,3.9,3.67,5.3
utter,6,0.99,2.13,3.03,4.76,3.9,5.33
restitution,12,0.97,1.84,2.36,5.81,4.1,5.57
cleanliness,6,0.99,2.32,2.63,7.21,4.05,6.95
lapel,8,0.94,1.54,4.56,5.74,3.17,5.21
chastity,12,0.99,2.08,2.0,4.0,4.52,5.62
avenue,2,0.99,2.23,4.0,5.74,3.3,5.18
wedge,6,1.0,2.34,4.41,4.74,3.24,5.04
abiding,12,0.99,2.07,2.07,5.57,3.59,6.6
veterinarian,6,0.98,2.01,4.46,6.67,3.39,5.24
bathing,4,0.99,2.14,4.07,6.14,3.23,6.93
mortician,8,0.97,1.76,4.3,3.56,3.33,3.59
glass,2,1.0,2.44,4.82,5.48,3.14,5.42
effective,6,0.99,2.25,2.04,6.95,3.95,7.2
jaguar,4,0.99,2.06,4.9,5.63,5.55,5.1
etiquette,8,0.99,2.24,2.15,6.0,3.71,5.65
jellyfish,2,0.99,2.33,4.93,4.9,3.73,4.0
paperback,4,0.99,2.25,4.57,6.5,4.84,5.48
cult,14,1.0,2.43,2.71,2.77,5.48,3.61
cerebral,8,0.98,1.96,2.22,4.95,3.7,6.76
handy,2,0.99,2.25,1.88,6.19,3.62,6.16
begrudge,12,0.98,2.0,1.89,3.95,4.47,5.33
epitome,13,0.96,1.68,1.8,5.67,4.23,6.14
erase,4,0.99,2.23,3.79,4.89,3.55,5.42
worm,2,0.99,2.2,4.9,4.86,3.5,5.22
scratch,2,0.99,2.31,4.16,4.95,4.35,4.5
reset,2,1.0,2.44,3.0,4.65,3.17,5.86
tibia,10,0.92,1.35,4.48,4.41,3.52,5.56
meat,2,1.0,2.43,4.9,6.62,4.3,5.58
province,8,0.99,2.12,3.1,5.14,3.33,5.18
anaconda,10,0.98,2.0,4.93,4.43,6.0,4.08
bumblebee,2,0.99,2.2,4.96,5.43,4.38,4.74
popular,4,0.99,2.26,2.16,5.71,4.74,5.19
deprivation,10,0.99,2.26,1.96,2.58,4.57,3.38
duo,12,0.99,2.07,3.7,6.45,3.75,5.75
road,2,1.0,2.43,4.75,5.59,3.81,6.0
establish,6,1.0,2.43,2.0,5.58,3.72,6.29
fireplace,2,0.99,2.17,4.68,5.95,5.2,5.56
sweeten,2,0.98,2.06,3.62,6.26,4.71,5.74
leftover,2,0.99,2.2,4.15,4.59,4.27,5.54
police,2,1.0,2.58,4.79,4.59,5.95,3.44
grinder,6,1.0,2.33,4.12,4.77,5.24,5.09
revenue,8,1.0,2.44,3.11,7.0,4.78,5.68
considerable,8,1.0,2.34,2.14,6.0,3.86,6.52
coincide,10,1.0,2.43,2.26,5.27,3.88,5.25
switchblade,6,0.99,2.17,5.0,3.45,5.71,4.44
swindler,6,0.98,1.89,3.37,2.33,4.82,3.86
harmless,2,1.0,2.43,1.9,6.59,3.5,5.85
throttle,6,0.99,2.31,4.24,5.55,5.36,5.71
girlie,6,0.87,1.13,2.93,5.35,4.95,5.54
cleavage,14,1.0,2.44,4.64,5.53,6.29,5.71
career,6,1.0,2.43,2.54,6.11,4.24,6.17
freshman,4,1.0,2.33,3.79,5.05,3.82,3.78
chipper,10,0.99,2.18,3.22,5.95,4.75,5.18
ship,2,1.0,2.58,4.87,6.14,3.94,5.84
capsule,4,1.0,2.43,4.52,5.6,3.45,5.56
cahoots,12,0.93,1.44,1.96,4.84,4.39,4.76
promenade,6,0.97,1.81,3.87,6.19,3.32,5.77
pirate,4,0.99,2.33,4.64,4.19,5.26,3.81
tree,2,1.0,2.34,5.0,7.59,2.67,5.62
manifold,12,0.94,1.5,3.58,4.8,3.22,4.91
progression,6,1.0,2.58,2.15,6.21,2.95,6.18
substation,10,0.93,1.45,3.88,4.43,3.29,5.0
foursome,6,0.98,2.02,4.0,4.14,5.17,5.29
sour,4,1.0,2.42,3.14,3.95,4.95,4.34
kickoff,2,0.99,2.14,4.41,4.95,5.0,6.11
edgy,6,0.99,2.31,1.87,4.81,4.39,4.56
bronze,6,0.99,2.24,4.47,5.81,3.62,5.4
solve,2,1.0,2.35,2.1,6.3,4.35,6.67
magnify,6,0.99,2.26,3.71,4.86,4.41,6.3
real,4,0.99,2.1,2.5,7.09,4.05,5.89
cubic,6,1.0,2.34,2.97,4.7,3.0,5.6
coordination,10,0.99,2.15,2.86,6.11,3.45,6.52
gynecologist,14,0.98,1.96,4.39,3.33,4.1,4.68
sociology,8,0.99,2.22,1.79,4.6,3.82,5.19
refuse,4,0.99,2.24,3.04,3.42,4.32,4.5
miraculous,6,0.99,2.25,1.93,6.37,6.17,4.38
barbaric,8,0.98,1.93,2.5,3.43,5.6,4.31
pope,6,0.99,2.22,4.71,5.18,4.21,4.24
upbringing,10,0.99,2.24,2.0,6.32,4.27,4.68
starry,8,0.97,1.76,4.08,7.4,3.96,5.59
asylum,8,0.99,2.2,4.41,3.24,5.55,3.52
glum,6,0.97,1.85,2.11,2.82,3.58,4.62
classic,6,1.0,2.58,2.0,6.32,3.62,6.29
fatherly,6,1.0,2.34,2.56,6.53,3.54,6.61
flatulence,14,0.98,1.89,3.88,3.79,5.95,4.35
flooring,6,1.0,2.34,4.43,5.32,3.0,6.0
chef,6,0.99,2.23,4.3,6.15,3.05,6.67
extinguisher,6,0.99,2.32,4.7,4.76,4.43,5.95
pan,2,0.99,2.1,4.86,5.15,3.05,6.0
suspension,8,0.99,2.25,3.17,4.35,4.57,5.46
public,4,1.0,2.43,2.57,5.33,3.35,4.94
eyesight,2,1.0,2.34,3.59,6.14,3.52,6.28
steamboat,4,0.99,2.25,4.9,5.52,5.14,5.6
location,4,1.0,2.58,3.0,5.77,4.58,6.19
scripture,8,1.0,2.34,3.86,5.47,2.89,5.15
aloof,10,0.98,1.97,1.46,4.59,3.09,4.63
tinfoil,4,0.97,1.88,4.96,4.79,3.25,5.0
bequeath,12,0.96,1.7,2.0,4.64,4.39,5.6
scoot,6,0.98,2.01,2.89,5.74,4.24,5.13
fiendish,12,0.97,1.82,1.79,3.95,4.72,3.89
gig,10,0.99,2.09,2.89,6.48,5.75,5.14
fraught,14,0.96,1.69,2.22,2.94,4.32,4.05
headstone,6,0.98,1.97,4.39,2.45,4.18,3.6
inspector,6,1.0,2.58,4.62,4.33,3.61,5.89
stadium,4,0.99,2.33,4.79,5.53,5.25,5.0
tussle,6,0.96,1.73,2.71,4.0,5.0,4.88
eject,12,1.0,2.44,3.22,3.95,4.42,5.18
scholarly,10,0.98,2.05,1.8,6.43,5.4,6.17
pedestrian,6,0.99,2.15,4.41,5.21,3.71,5.65
suffocate,4,0.99,2.32,3.74,2.62,6.09,3.48
conserve,10,0.99,2.32,1.96,5.9,3.75,5.86
hyacinth,12,0.83,0.93,4.5,6.0,4.4,5.62
troubled,2,1.0,2.58,1.82,3.11,4.45,3.83
mobster,6,0.98,2.0,4.13,3.05,5.14,4.04
decompression,8,0.99,2.25,3.07,3.75,2.91,4.78
romp,6,0.96,1.69,2.76,6.79,5.8,5.61
severe,6,1.0,2.35,2.43,3.21,5.43,4.05
fishy,6,0.99,2.18,2.96,4.2,3.11,3.59
chromium,10,0.93,1.42,4.33,4.8,2.9,5.08
hassle,8,1.0,2.42,2.18,2.95,3.83,4.83
charge,2,1.0,2.58,2.96,4.61,4.25,5.17
sufficient,8,0.99,2.26,1.9,6.1,3.17,6.0
methane,12,0.99,2.31,4.32,3.48,3.73,4.37
twister,6,1.0,2.44,4.44,4.25,6.0,4.89
coverage,12,1.0,2.43,2.7,5.77,3.19,5.96
pillage,12,0.96,1.71,3.22,3.79,4.65,3.79
complement,8,0.98,2.0,2.0,6.7,5.9,6.77
alias,10,0.99,2.1,2.86,5.0,4.71,5.94
mural,8,0.97,1.84,4.66,6.67,3.4,5.95
toupee,8,0.94,1.56,4.65,4.0,3.06,4.96
lighten,4,0.99,2.32,2.93,6.21,3.14,5.45
pink,2,1.0,2.58,3.93,6.68,4.35,6.74
invest,4,1.0,2.43,2.47,6.16,3.95,5.94
terrorism,8,1.0,2.58,2.79,1.6,7.42,2.69
fireworks,4,1.0,2.45,4.86,6.8,6.05,5.61
fray,10,0.98,1.94,3.18,4.26,4.5,4.12
airstrip,6,0.99,2.12,4.68,4.76,3.83,5.1
cosmetic,6,0.99,2.31,2.96,5.09,4.87,5.74
sirloin,6,0.98,2.02,4.66,7.38,4.0,5.9
contact,4,1.0,2.58,3.86,6.17,3.33,5.78
spastic,8,0.99,2.24,2.61,3.95,5.05,3.38
honorary,8,0.99,2.06,1.75,6.42,3.9,6.55
trapdoor,12,0.97,1.76,4.56,4.19,5.04,4.54
jacket,2,0.99,2.26,4.86,5.86,3.35,6.89
appendicitis,2,0.98,1.89,3.48,1.86,5.12,2.71
deposit,4,1.0,2.34,3.92,6.25,4.5,6.37
flunk,2,0.98,2.0,2.4,1.95,3.72,4.23
diva,12,0.99,2.16,3.64,3.68,4.55,5.71
ominous,12,0.98,2.06,1.93,3.95,5.57,4.48
pledge,4,1.0,2.34,2.61,5.09,3.95,6.0
downward,2,1.0,2.42,3.16,4.0,4.05,3.96
slow,2,0.99,2.25,3.28,4.0,2.89,5.39
wallpaper,2,1.0,2.58,4.62,5.38,2.81,5.64
expensive,4,1.0,2.43,3.13,3.36,6.1,6.21
assess,10,0.98,1.95,2.26,5.84,3.45,5.21
stack,2,0.99,2.22,4.3,5.33,3.33,5.86
cleat,8,0.89,1.21,4.5,4.24,3.61,5.42
tremble,4,0.99,2.24,3.61,3.18,5.32,3.79
breech,14,0.97,1.85,2.96,3.14,3.57,5.05
tubing,8,0.99,2.13,4.38,5.11,3.62,5.05
risk,2,1.0,2.43,1.63,5.17,6.43,3.89
crave,8,0.99,2.26,2.52,5.41,5.04,5.0
pin,2,1.0,2.33,4.92,5.29,3.73,5.76
graze,4,1.0,2.34,3.52,5.26,3.57,5.65
discussion,4,0.99,2.19,3.07,6.18,5.0,5.95
proclaim,10,1.0,2.43,2.36,5.38,4.84,6.1
stray,4,1.0,2.34,2.76,4.14,3.71,5.68
pelican,6,0.99,2.24,4.96,6.21,3.55,4.96
biblical,6,1.0,2.43,1.97,6.52,3.73,5.3
swag,14,0.98,2.0,3.14,5.37,4.33,5.94
epilepsy,8,0.99,2.21,3.29,2.7,5.0,2.9
marker,2,0.99,2.24,4.62,5.8,4.05,5.48
presence,6,0.99,2.18,2.72,5.75,3.6,5.59
green,2,0.99,2.27,4.07,6.29,4.07,5.64
inn,2,0.99,2.14,4.64,5.71,3.26,5.52
matrimony,8,0.99,2.17,2.11,7.0,5.77,6.32
mum,10,0.98,1.91,4.11,5.43,3.35,4.54
mouth,2,1.0,2.58,4.74,5.59,4.14,6.0
sad,2,0.99,2.23,3.07,2.1,3.49,3.84
meteor,6,0.99,2.09,4.96,5.1,5.62,3.92
kamikaze,12,0.93,1.47,3.38,3.58,4.68,3.87
particle,6,0.99,2.24,3.78,5.24,4.74,4.59
putter,6,0.96,1.71,3.42,5.42,3.17,4.88
office,2,0.99,2.32,4.93,4.54,3.05,5.16
monk,6,0.99,2.32,4.35,4.9,2.61,5.04
ballad,8,0.98,2.01,3.88,6.33,3.6,6.32
improbable,8,0.99,2.23,1.85,4.05,3.95,4.78
sassy,4,0.99,2.16,2.14,5.19,5.16,6.32
ignition,6,1.0,2.34,3.37,5.81,4.33,5.88
puffy,10,0.99,2.1,4.33,4.78,4.5,5.05
fraternity,8,0.99,2.24,2.46,4.89,4.64,5.41
knighthood,8,1.0,2.44,2.78,6.2,4.86,5.81
device,6,1.0,2.58,3.97,5.79,3.42,5.95
stare,2,0.99,2.2,4.1,4.45,4.68,6.38
steal,2,1.0,2.34,3.84,2.17,5.3,3.0
daisy,4,1.0,2.44,5.0,7.48,3.95,5.37
biology,8,1.0,2.46,3.48,6.0,4.1,4.45
frayed,10,0.98,1.98,3.79,4.05,3.2,4.6
elect,4,0.99,2.19,2.41,5.52,4.0,5.43
manual,8,1.0,2.58,4.45,4.95,3.17,6.48
drip,4,1.0,2.44,4.14,5.52,3.7,4.11
pretzel,2,0.99,2.12,4.74,6.81,5.7,5.69
summit,8,1.0,2.58,4.21,5.5,4.35,4.45
abode,12,0.98,1.92,3.92,5.28,2.9,5.05
second,2,0.99,2.31,3.3,5.23,3.48,5.35
amusement,4,0.99,2.23,2.07,7.0,4.82,6.59
hologram,12,0.99,2.19,4.35,6.22,4.23,4.64
detail,8,0.99,2.18,2.5,5.67,3.81,7.14
courthouse,6,0.99,2.18,4.86,4.61,4.2,3.5
ketchup,2,0.99,2.23,5.0,6.03,3.85,5.48
fortunate,4,0.99,2.25,2.04,7.33,3.81,5.83
endowment,10,0.99,2.06,2.89,6.0,3.67,6.15
strange,2,1.0,2.43,1.86,4.72,3.5,5.28
socialist,4,1.0,2.44,3.19,4.11,4.44,4.32
patent,6,0.99,2.1,3.32,5.34,3.64,5.79
indifferent,12,1.0,2.44,1.89,4.28,3.19,4.85
backwoods,6,0.88,1.18,3.22,5.0,2.57,5.21
gunnery,8,0.88,1.18,3.04,3.89,4.41,4.74
pituitary,10,0.94,1.52,3.33,4.79,4.4,4.91
nipple,2,0.99,2.23,4.83,5.73,5.88,5.64
elevation,6,0.99,2.24,3.79,5.67,3.57,6.06
experimentation,8,0.99,2.26,2.31,6.0,5.52,5.48
cosmic,12,0.99,2.25,2.76,7.11,5.39,4.84
procreation,14,0.99,2.25,2.71,5.14,6.04,6.67
kingpin,12,0.96,1.65,3.48,4.37,5.14,5.17
reactor,10,0.99,2.32,3.68,4.47,4.42,4.52
unfold,2,1.0,2.43,3.55,4.23,3.87,5.63
duration,8,1.0,2.43,2.08,5.43,3.3,4.81
vinyl,6,0.98,2.04,4.54,5.2,3.39,5.05
nephew,6,0.99,2.25,4.48,6.75,4.33,5.94
doom,8,0.99,2.32,1.5,3.0,6.17,2.42
infidel,12,0.97,1.78,2.03,3.9,4.52,5.0
museum,2,1.0,2.33,4.6,6.67,3.74,5.4
kinship,6,0.97,1.87,2.21,7.53,4.65,6.26
ransom,6,0.99,2.33,3.31,2.32,4.45,2.43
mutiny,6,0.98,1.92,2.24,4.2,5.18,4.56
depth,6,0.99,2.17,3.11,5.8,4.35,5.24
corn,2,0.99,2.33,4.96,5.95,3.43,5.65
chunky,6,0.99,2.24,3.69,4.1,3.41,4.14
competitive,8,1.0,2.42,1.89,5.45,5.7,5.5
faint,2,0.99,2.23,3.74,4.0,3.74,3.5
trachea,10,0.95,1.63,4.48,4.73,4.21,4.38
nap,2,1.0,2.34,4.03,6.53,4.14,5.91
artichoke,13,1.0,2.34,4.63,5.3,3.5,5.48
prevention,6,0.99,2.23,2.2,5.74,3.14,5.16
ministry,4,0.99,2.1,3.21,5.08,3.85,4.5
hot,2,0.99,2.26,4.31,5.73,4.76,5.0
pox,6,0.96,1.71,3.74,2.62,4.4,3.36
hypocrite,6,0.99,2.32,2.55,3.25,4.77,4.85
bone,4,0.99,2.31,4.9,5.24,4.75,6.0
assorted,6,0.99,2.24,3.15,5.82,3.52,5.41
quest,10,1.0,2.43,2.87,6.26,5.8,6.0
remainder,4,0.98,2.05,3.11,5.63,4.18,5.27
aspiration,8,1.0,2.58,1.81,6.26,5.0,5.94
tennis,4,1.0,2.58,4.43,5.4,3.89,5.68
gullible,12,0.98,2.01,1.78,4.16,4.06,3.59
alpine,4,0.99,2.13,3.7,5.84,3.52,5.74
secrecy,6,0.98,1.93,2.0,4.15,5.18,5.08
disloyalty,6,0.96,1.73,1.5,2.57,5.77,3.71
playback,8,0.99,2.26,3.43,5.76,3.36,6.14
conjecture,14,0.98,1.95,1.75,4.71,3.64,4.67
genetic,10,1.0,2.58,2.73,4.79,3.83,3.76
acquittal,10,0.95,1.63,2.38,6.19,4.95,5.03
lurch,12,0.97,1.86,3.41,3.9,4.09,4.38
rich,2,1.0,2.44,2.79,6.83,6.81,6.83
narrative,10,1.0,2.35,3.18,6.32,3.23,5.61
musical,2,0.99,2.23,3.72,7.68,5.63,5.43
peachy,10,1.0,2.44,2.43,6.47,4.7,5.93
snotty,6,0.99,2.08,2.39,2.85,4.52,3.91
respective,8,0.99,2.1,1.79,5.9,3.76,6.42
sizzle,4,0.99,2.06,3.48,6.14,4.39,4.85
whim,10,0.99,2.06,1.69,6.16,4.05,5.85
cardiac,10,0.99,2.16,2.81,3.73,4.9,3.95
plop,4,0.98,1.9,3.48,5.5,3.77,5.24
proof,2,1.0,2.58,2.67,6.38,4.15,7.05
rum,6,1.0,2.43,4.93,5.57,4.96,6.17
parole,6,0.98,1.93,2.66,3.25,4.91,4.38
recording,10,1.0,2.43,3.68,5.22,3.53,5.59
primate,13,0.99,2.23,4.5,5.84,2.95,4.18
exit,2,1.0,2.35,3.93,5.35,3.18,7.0
banshee,13,0.97,1.81,3.12,3.58,5.09,4.15
blockade,6,0.99,2.22,4.25,3.45,3.4,4.36
dictate,6,1.0,2.33,3.15,4.4,3.24,4.96
unofficial,6,1.0,2.44,1.61,4.45,3.59,5.22
rebirth,6,0.99,2.2,2.21,6.3,4.52,5.79
thirst,2,1.0,2.43,3.04,4.14,4.12,6.0
respond,6,1.0,2.58,2.64,5.71,3.09,6.0
scout,4,1.0,2.43,4.0,6.0,4.52,5.32
monumental,12,0.99,2.11,2.28,5.74,5.24,6.06
willow,4,0.99,2.18,4.35,5.95,2.78,4.75
affidavit,10,0.91,1.3,4.0,4.38,3.73,4.04
enthusiast,6,0.99,2.32,2.23,6.65,5.91,6.89
ordeal,10,0.99,2.22,2.04,3.84,5.14,4.65
zenith,12,0.92,1.38,2.83,5.2,3.71,5.36
unrequited,14,0.96,1.68,2.0,3.79,4.23,3.74
valley,2,0.98,2.04,4.72,6.22,2.7,5.12
nectar,6,0.99,2.25,4.63,6.8,3.95,5.83
family,2,1.0,2.33,4.23,7.25,4.35,5.98
launder,4,0.97,1.84,3.18,5.15,3.57,5.36
strength,2,0.99,2.32,2.96,6.73,5.3,7.42
erupt,6,0.98,2.0,3.7,5.14,6.41,3.32
