"word","AoA","Prevalence","concreteness","valence","arousal","dominance"
"brag","2","2.58","2.41","4.05","3.5","5.32"
"braid","2","2.23","4.38","5.78","3.9","5.6"
"brain","2","2.26","4.69","6.22","3.35","6.28"
"brainless","2","2.23","2.18","3.57","3.95","4.11"
"brainwash","8","2.43","2.21","3.11","5.9","2.88"
"brainy","6","2.12","1.88","6.26","5.05","6.92"
"brake","2","2.32","4.44","4.9","3.82","5.67"
"bran","6","1.33","4.48","4.84","2.26","5.05"
"branch","2","2.44","4.9","5.15","2.67","4.91"
"brand","4","2.58","3.29","5.05","2.82","4.57"
"brandy","4","2.24","4.81","5.67","3.86","5.5"
"brash","13","2.11","2.46","4.38","3.55","5.33"
"brass","4","2.44","4.7","5.05","4","5.95"
"brassiere","8","1.52","4.64","6","4.68","5.54"
"brat","2","2.09","3.62","2.67","4.67","4.61"
"bratwurst","13","1.52","4.82","5.65","2.75","4.81"
"bravado","14","1.71","1.93","5.89","4.7","6.04"
"brave","2","2.25","2.26","7.38","4.95","6.84"
"bravery","2","2.58","1.96","7.38","5.84","6.57"
"brawl","6","2.43","3.63","3.64","5.38","4.73"
"brawn","12","1.9","2.79","5","4.65","5.57"
"brazen","12","1.53","1.93","5","5.67","5.64"
"breach","12","2.58","2.48","3.67","3.46","4.76"
"bread","2","2.33","4.92","6.52","3.85","6.05"
"breadth","12","1.39","2.23","4.63","3.61","5.5"
"break","2","2.44","3.71","5.1","4.71","4.5"
"breakdown","4","2.25","2.75","3.48","4.73","3.62"
"breakfast","2","2.58","4.43","7.39","5","6.83"
"breakthrough","8","2.43","1.87","6.35","5.68","6.58"
"breast","2","2.44","4.89","6.64","5.39","5"
"breath","2","2.16","4.36","6.61","2.35","5.78"
"breathe","2","2.24","4.07","7.17","2.6","6.22"
"breather","8","1.82","3.44","5.95","2.85","5.42"
"breathless","2","2.32","3.67","4.95","5.73","5.19"
"breathtaking","4","2.44","1.85","7","5.38","5.52"
"breech","14","1.85","2.96","3.14","3.57","5.05"
"breed","6","2.43","2.85","5.74","4.1","6.17"
"breeder","6","2.05","3.13","4.71","3.79","5.3"
"breeding","8","2.44","2.96","5.62","3.95","5.41"
"breeze","2","2.11","3.62","7.61","3.2","4.55"
"breezy","2","2.43","3.72","6.26","4.19","5.76"
"brethren","10","1.89","3.25","5.62","3.71","5.48"
"brew","6","2.31","4.07","5.42","3.5","5.71"
"brewery","6","2.44","4.62","5.74","4.75","5.46"
"briar","6","1.24","4.44","4.95","4","4.58"
"bribe","6","2.27","3.44","3.32","4.44","4.59"
"bribery","8","2.24","2.89","3.59","5.05","4.14"
"brick","2","2.17","4.83","4.65","2.53","5"
"bridal","6","2.07","3.25","6.2","4.84","5.54"
"bride","2","2.12","4.63","6.8","4.5","6.08"
"bridegroom","4","1.52","4.39","6.1","4.33","4.75"
"bridesmaid","6","2.34","4.41","6.19","4.82","5.05"
"bridge","2","2.18","4.97","5.44","3.48","4.78"
"brief","4","2.44","2.38","6","3.42","5.39"
"briefcase","4","2.33","4.86","5.2","3.59","6.33"
"brig","6","0.75","4.48","4","3.29","3.5"
"brigade","8","2.04","4.3","4.43","4.44","5.59"
"bright","2","2.44","3.92","6.84","5","6.38"
"brighten","2","2.35","3.41","7.37","5.32","6.77"
"brilliance","6","2.33","2.39","7.09","5.24","6.64"
"brilliant","8","2.58","2.07","7.5","5.95","7.16"
"brim","4","1.83","4.23","5.21","4","4.79"
"brimstone","14","1.66","3.83","3.67","3.87","3.65"
"bring","2","2.43","2.55","5.68","4.29","5.72"
"brink","10","2.17","2.48","4.95","4.22","4.53"
"brisk","6","2.23","2.5","5.86","5.3","6.11"
"brisket","14","2.11","4.61","5.6","4.27","5.16"
"brittle","4","2.25","3.56","3.86","4.42","4.5"
"broach","13","1.72","3.74","4.47","3.29","4.61"
"broad","4","2.43","2.45","5.14","3.26","4.23"
"broadcast","2","2.58","3.46","4.89","4.41","4.92"
"broaden","6","1.97","2.3","6.39","3.16","5.6"
"broadside","12","1.87","4","3.8","3.16","4.64"
"broccoli","8","2.33","4.87","6","2.48","5.12"
"brochure","10","2.13","4.76","4.74","3.43","5.32"
"broken","2","2.44","4.11","2.75","4.86","3.76"
"broker","6","2.24","4.03","4.15","3.77","5.37"
"brokerage","13","1.49","3.61","4.5","3.57","5.16"
"bronco","6","1.51","4.75","5.83","4.25","4.28"
"bronze","6","2.24","4.47","5.81","3.62","5.4"
"brooch","8","0.86","4.19","5.33","3.64","5.04"
"brood","10","1.91","2.96","4.65","2.57","4.04"
"brook","2","1.97","4.43","7","3.33","6.08"
"broom","2","2.44","4.89","5.5","3.33","5.76"
"broomstick","4","2.1","4.8","5","3.32","5.5"
"broth","6","2.03","4.68","5.55","2.27","6.23"
"brothel","14","2.06","4.23","4.63","5.4","4.88"
"brother","2","2.24","4.43","6.18","4.48","5.46"
"brotherhood","2","2.44","2.58","6.42","5.14","6.57"
"brotherly","4","2.19","1.93","7.45","4.44","6.31"
"brow","4","2.16","4.39","5.11","3.23","4.29"
"brown","2","2.25","4.48","5.52","3.32","4.65"
"brownstone","13","1.08","4.4","4.74","2.94","4.94"
"browse","8","2.32","3.07","5.47","3.57","5.95"
"bruise","4","2.26","4.73","3.24","4.04","3.78"
"brunch","12","2.11","4.41","6.57","4.09","5.64"
"brunette","4","2.13","4.57","6.35","4.15","5.36"
"brunt","13","1.41","2.21","3.71","3.96","4.85"
"brush","2","2.58","4.54","5.47","3.18","6.18"
"brutal","6","2.18","2","3.07","5.13","3.94"
"brutality","8","2.36","2.48","2.43","4.96","3.89"
"brute","10","2.16","3.31","3.48","4.85","5.55"
"brutish","10","1.78","2.43","3","4.74","5.11"
"bubble","2","2.43","4.6","6.43","4.19","6.12"
"bubonic","12","1.45","2.63","2.17","5.78","3.52"
"buck","4","2.24","4.67","6.5","4.7","5.39"
"bucket","2","2.45","4.96","4.55","2.96","5.52"
"buckle","2","2.43","4.71","5.05","3.76","4.83"
"buckshot","4","1.42","4.78","4.76","5.15","5.14"
"buckwheat","6","1.72","4.54","5.24","2.7","6.22"
"buddy","2","2.58","3.48","7.41","4.57","6.24"
"budge","2","2.19","2.65","4.83","3.95","4.32"
"budget","4","2.43","3.14","4.56","3.33","4.9"
"buff","6","2.25","3.73","6.21","4.59","5.39"
"buffer","6","2.16","2.89","5.42","4.05","5.43"
"buffet","10","2.32","4.67","6.05","4.95","5.88"
"buffoon","14","1.81","3.39","3.95","5.7","4"
"bug","2","2.27","5","3.45","6.06","4.08"
"buggy","2","2.02","4.18","4.65","4.04","5.33"
"bugle","6","1.41","4.84","5.05","4.41","5.42"
"bugler","8","0.69","4.58","4","4.15","4.24"
"build","2","2.58","3.71","6.33","3.38","6.5"
"builder","2","2.44","3.97","5.95","3.32","6.93"
"building","2","2.58","4.64","5.47","3.35","6"
"bulb","2","2.12","4.93","5.86","3.26","4.82"
"bulge","6","2.18","3.92","3.74","4.05","4.39"
"bulk","12","2.44","3.24","4.89","3.43","5.05"
"bulkhead","14","1.46","4.17","4.67","3.65","4.88"
"bulky","6","2.43","3","4.21","3.95","5.24"
"bull","2","2.58","4.85","3.95","4.9","6.89"
"bulldog","2","2.32","4.71","4.74","3.72","4.44"
"bulldozer","2","2.58","4.9","4.81","4.05","5.64"
"bullet","2","2.58","4.83","3.45","5.89","3.93"
"bulletin","6","2.34","4.72","5.6","2.95","5.4"
"bulletproof","2","2.11","3.89","6.2","6.8","5.85"
"bullfrog","4","2.58","4.9","5.05","2.88","5.05"
"bullheaded","4","1.74","2.46","3.42","4.64","4.23"
"bullion","13","1.26","4.26","5.79","3.8","5.46"
"bully","2","2.32","3.92","2.67","5.86","3.18"
"bum","4","2.33","4.21","3.64","4.39","4.74"
"bumblebee","2","2.2","4.96","5.43","4.38","4.74"
"bump","2","2.44","4.1","5.05","4.75","5.33"
"bumper","2","2.01","4.96","4.79","3.45","5.11"
"bumpy","2","2.43","3.76","4.3","4.76","4.79"
"bun","2","2.32","4.88","5.47","3.05","5.29"
"bunch","2","2.44","3.5","5.83","2.81","4.56"
"bundle","2","2.16","4.22","5.1","3.48","5.12"
"bungalow","6","2.02","4.63","6.5","3.64","5.7"
"bunghole","10","1","3.96","3.9","4.59","5.42"
"bunion","8","1.41","4.64","3.48","4.11","4.19"
"bunk","2","2.11","4.3","5.43","3.53","5.19"
"bunker","12","2.31","4.79","4.7","4.23","4.95"
"bunkhouse","4","1.18","4.37","5.63","3.9","4.88"
"bunny","2","2.42","4.97","7.3","3.86","5.78"
"buoy","8","1.6","4.57","5.9","2.68","5.76"
"burden","6","2.26","2.63","3.05","3.96","3.14"
"bureau","6","2.18","4.04","4.7","3.74","5.19"
"bureaucracy","14","2.07","1.64","3.24","3.74","3.57"
"bureaucrat","12","1.83","3.86","3.05","3.1","4.46"
"burger","2","2.24","4.93","6.95","3.65","5.59"
"burglar","2","2.01","4.44","2.67","5.32","3.88"
"burglary","2","2.31","3.64","2.26","6.33","2.85"
"burial","4","2.35","3.93","2.65","4.3","5.16"
"burlesque","12","1.9","3.12","5.68","5.3","4.74"
"burn","2","2.31","4.11","3.73","5.4","3.9"
"burner","2","2.58","4.78","3.9","4.67","4.64"
"burp","2","2.19","4.34","5.38","4.95","5.75"
"burr","8","1.07","3.93","4.33","2.96","4.84"
"burrow","6","2.34","3.67","5.53","3.52","5.24"
"burst","2","2.18","3.1","5.43","5.09","4.45"
"bury","4","1.81","3.82","1.95","5.55","4.79"
"bus","2","2.23","4.9","5.12","3.83","4.88"
"bush","2","2.31","4.9","4.75","2.67","5"
"bushel","4","1.45","4.3","5.68","4.29","5.55"
"bushy","6","2","3.75","4.53","3.95","4.75"
"business","2","2.43","3.28","5.48","3.71","5.35"
"businessman","2","2.06","4.47","5.38","3.36","5.43"
"bust","6","2.58","3.73","4.77","5.8","6.53"
"buster","12","1.65","2.57","4.59","3.71","5.09"
"bustle","8","1.7","2.54","5.29","4.26","4.62"
"busy","4","2.19","2.41","5.41","4.52","4.44"
"busybody","10","2","2.96","3.68","4.34","5.61"
"butcher","4","2.11","4.65","4.4","4.15","5.18"
"butler","2","2.1","4.63","5.62","2.55","6.04"
"butt","2","2.06","4.75","5.36","5.2","5.68"
"butter","2","2.58","4.9","6.36","3.37","5.67"
"buttercup","6","2.27","4.71","6.83","3.23","6.22"
"butterfly","2","2.25","4.93","7.23","3.2","5.51"
"buttermilk","10","2.17","4.68","5.9","2.77","5.74"
"butterscotch","2","2.25","4.58","6.55","3.48","5.68"
"buttocks","2","2.43","4.83","6.85","5.35","6.29"
"button","2","2.43","4.96","5.48","4.1","6.53"
"buy","2","2.23","3.35","6.82","4.29","6.78"
"buyer","2","2.25","4.36","5.9","3.95","5.76"
"buzzard","6","2.12","4.74","4.74","5.81","4.91"
"buzzer","4","2.06","4.66","5.16","5.4","5.22"
"bystander","6","2.11","4.17","4.68","3.05","4.55"
"cab","2","2.33","4.88","4.81","4.05","6.47"
"cabana","12","1.11","4.79","6.2","3.95","5.32"
"cabbage","2","2.58","4.75","4.6","2.91","5.93"
"cabbie","8","1.4","4.42","4.76","4.14","4.67"
"cabin","2","2.44","4.92","5.9","3.74","6.3"
"cabinet","4","2.43","4.89","5.1","3.75","5.78"
"cable","4","2.33","4.74","5.9","3.52","5.79"
"caboose","2","1.38","4.96","5.94","3.05","4.32"
"cache","12","1.91","3.8","4.95","4.14","6.06"
"cactus","2","2.26","5","5.11","4","5.5"
"cadaver","12","1.43","4.48","3.65","4.5","4.74"
"cadet","6","1.95","4.21","4.8","3.48","4.76"
"cafeteria","4","2.24","4.71","5.68","4.08","5.36"
"caffeine","4","2.13","4.04","6.74","6.23","5.68"
"cage","2","2.58","5","3.11","4.2","3.58"
"cagey","10","1.12","2.04","3.65","4.59","5.11"
"cahoots","12","1.44","1.96","4.84","4.39","4.76"
"cake","2","2.34","4.81","7.58","5.33","5.88"
"cakewalk","12","1.29","2.64","7.33","4.04","6.2"
"calamity","8","2.01","2","3.95","5.19","4.54"
"calcium","6","2.44","4.07","5.7","3.14","5.97"
"calculate","6","2.58","2.74","4.89","3.18","6.39"
"calculation","8","2.44","3","5.33","4.48","6.09"
"calculator","8","2.58","4.86","5.86","4.47","6.48"
"calculus","12","2.08","2.26","4","2.73","4.41"
"calendar","2","2.58","4.62","5.53","2.9","5.59"
"calf","2","2.26","4.48","5.44","3.7","5.16"
"caliber","8","1.99","3","4.79","4.1","5.45"
"call","2","2.44","4","6.18","3.29","5.61"
"caller","6","2.32","3.96","5.52","3.41","5.44"
"calligraphy","14","2.16","4.32","6.8","3.29","5.52"
"callous","12","2.07","2.44","2.9","3.85","4.26"
"calm","6","2.44","2.83","6.89","1.67","7.44"
"camaraderie","12","1.41","2.19","5.85","4.09","6.32"
"camel","2","2.43","4.93","5.29","3.1","5.21"
"cameo","10","2.17","3.19","5.86","3.42","5.65"
"camera","2","2.58","5","6.61","3.05","6.39"
"camouflage","6","2.19","4.24","5.85","4.2","6.1"
"camp","2","2.44","4.35","7","4.14","5.89"
"campaign","4","2.44","3","4.55","3.5","5.14"
"camper","4","2.43","4.63","5.21","4.53","5.52"
"campfire","2","2.25","4.79","6.55","4.17","5.88"
"campus","6","2.33","4.64","6.44","4.17","5.21"
"can","2","2.21","4.55","6.41","3.14","6.44"
"canal","4","2.18","4.68","5.71","4.05","5.81"
"canary","4","2.12","4.63","6.37","3.5","5.41"
"cancel","6","2.58","2.41","3.61","4.29","5.83"
"cancellation","8","2.34","2.1","3.74","3.9","5.28"
"candid","14","2.24","1.81","5.58","4","5.42"
"candidacy","6","1.62","2.39","4.8","3.05","4.95"
"candidate","6","2.44","3.81","4.5","5.32","5.48"
"candle","2","2.33","4.86","6.14","3.81","6.08"
"candlelight","2","2.08","4.48","6.63","3.22","6.18"
"candlestick","6","2.43","4.93","5.95","3.55","5.38"
"candor","14","1.36","1.96","6.14","3.9","6.18"
"candy","2","2.25","4.83","7.27","5.03","6.46"
"cane","2","2.33","4.87","4.64","3","4.38"
"canine","12","2.25","4.71","6.22","4.76","5.24"
"canister","8","1.78","4.93","4.84","3","5.57"
"canned","2","2.42","3.68","4.32","3","4.62"
"cannibal","8","2.31","3.82","2.9","6.1","3.2"
"cannibalism","6","2.43","3.07","2.32","6.05","4.09"
"cannon","2","2.18","4.79","4.74","5.09","4.95"
"cannonball","2","2.05","4.8","5.14","4.24","4.84"
"canoe","4","2.07","4.86","5.76","3.7","6.15"
"canon","12","1.76","4.56","4.9","5.86","4.8"
"canopy","8","2.13","4.52","6","3","5.91"
"cantaloupe","6","1.9","4.76","6.1","3.91","5.68"
"canteen","2","2.58","4.88","5.05","3.2","5.15"
"canvas","4","2.24","4.78","5.67","2.7","5.89"
"canvass","12","1.04","4.08","5.4","3.25","5.29"
"canyon","2","2.09","4.81","5.5","3.9","4.1"
"cap","2","2.33","4.59","5","3.27","5.57"
"capability","10","2.23","1.93","6.63","4.29","6.6"
"capable","4","2.43","2.21","7.05","4","7.07"
"capacity","6","2.44","3.1","5.14","3.67","6.08"
"caper","10","1.79","3.74","4.9","3.9","5.18"
"capital","4","2.18","4.1","5.29","3.14","5.85"
"capitalism","13","2.44","1.96","3.62","5.39","5.67"
"capitalist","10","2.43","2.89","5.24","3.08","5.3"
"capitalize","4","2.23","2.29","5.95","3.91","6.12"
"capsule","4","2.43","4.52","5.6","3.45","5.56"
"captain","2","2.16","4.19","5.71","3.86","5"
"captive","6","2.58","3.03","3.27","4.88","3.3"
"captivity","6","2.24","2.76","3.14","5.09","2.89"
"capture","4","2.31","3.21","5.05","5.43","3.57"
"car","2","2.32","4.89","6.63","4.04","6.41"
"caramel","4","2.24","4.73","6.68","4.29","6.05"
"caravan","6","2.16","4.37","5.86","3.8","5.59"
"carbon","6","2.34","4.22","4.5","4.05","5.05"
"carburetor","6","0.79","4.68","5.06","4.55","4.74"
"carcass","10","1.86","4.46","2.85","4.85","4.42"
"card","2","2.34","4.9","5.5","2.67","5.06"
"cardboard","2","2.19","4.9","4.71","2.25","5.26"
"cardiac","10","2.16","2.81","3.73","4.9","3.95"
"cardigan","14","2.33","4.96","5.95","3.24","5.44"
"cardinal","4","2.27","4.74","6.14","4.21","5.2"
"care","2","2.42","2.33","7.64","2.67","6.56"
"career","6","2.43","2.54","6.11","4.24","6.17"
"carefree","4","2.43","1.88","7.32","4.15","6.45"
"careful","2","2.32","1.86","6.32","2.95","5.83"
"careless","2","2.25","1.78","3.53","4.27","3.62"
"carelessness","2","2.32","1.76","3.76","3.96","3.52"
"caress","8","1.96","4.14","6.82","4.6","6.38"
"caretaker","6","2.44","4.24","6.17","3.4","4.52"
"cargo","4","2.31","4.62","5.21","2.68","5.64"
"carnage","14","2.04","3.48","3.3","5.77","5.15"
"carnal","12","1.67","2.72","5.16","6.24","5.17"
"carnation","2","1.89","3.93","5.75","3.68","5.52"
"carnival","4","2.32","4.68","6.48","5.22","5.55"
"carnivorous","10","2.1","2.85","4.52","4.48","4.77"
"carousel","12","2.58","4.93","6.7","4.43","5.92"
"carp","8","1.78","4.62","4.55","4.31","5.83"
"carpenter","2","2.33","4.41","5.94","3.05","5.12"
"carpentry","6","2.19","3.48","4.87","4","6.3"
"carpet","2","2.58","4.96","5.95","2.77","5.1"
"carpeting","6","2.06","4.21","5.16","3","5.56"
"carriage","2","2.25","4.86","6.1","2.52","6"
"carrier","6","2.42","4.2","5.19","2.96","5.1"
"carrot","2","2.33","5","5.79","3.91","6.37"
"carry","2","2.58","4.04","5.67","3.47","4.94"
"cart","2","2.31","4.89","5.37","3.18","5.83"
"cartel","14","1.7","3.3","3.7","3.76","3.92"
"cartilage","8","2.13","4.71","4.17","3.53","4.08"
"carton","4","2.26","5","5.3","3.41","5.68"
"cartoon","2","2.43","4.33","6.74","5.05","5.26"
"cartridge","4","2.23","4.78","5.05","3.06","5.54"
"carve","2","1.95","3.69","5.09","4.13","6.32"
"cascade","10","2.32","3.83","6.24","3.59","6.76"
"case","2","2.26","3.93","5.18","4.14","6.11"
"cash","2","2.42","4.48","7.51","6.59","6.16"
"cashier","4","2.32","4.89","5.1","3.45","5.43"
"cashmere","8","1.99","4.72","6.62","3.8","5.05"
"casing","8","1.93","4.28","4.3","2.95","4.96"
"casino","6","2.1","4.77","4.68","6.05","4.84"
"casket","6","2.12","4.86","2.42","4.82","3.11"
"casserole","4","2.11","4.87","6","3","6.08"
"cassette","8","2.34","4.6","5.36","3.77","5.8"
"cast","4","2.43","3.92","5.26","3.55","5.05"
"castaway","10","2.25","3.48","4.1","3.35","4.05"
"caste","12","1.37","2.67","4","3.38","3.64"
"castle","2","2.58","4.96","6.42","4.72","6.35"
"castrate","12","2.17","3.82","2.19","5.3","3.44"
"casual","8","2.23","2.03","6.05","3","6.35"
"casualty","10","2.25","2.85","3.33","6.3","4.1"
"cat","2","2.58","4.86","6.95","4.5","5.48"
"catalog","4","1.55","4.68","5.95","2.33","5.76"
"catalyst","12","2.33","2.85","5.3","3.38","4.65"
"catapult","8","2","4.43","5.25","5.52","5.29"
"catastrophe","10","2.58","2.96","2.7","5.64","2.5"
"catatonic","12","2.11","2.92","3.2","3.18","4"
"catch","2","2.26","4.11","5.64","4","5.47"
"catcher","4","2.04","4.44","5.39","3.26","4.8"
"catchy","6","2.07","1.79","5.22","4","5.6"
"category","8","2.58","2.82","5.05","2.67","5.48"
"cater","10","1.74","3.07","5.73","3.45","5.39"
"caterer","12","1.81","4.37","6.16","3.76","5.74"
"caterpillar","4","2.06","4.87","5.25","3.24","5.04"
"catfish","2","2.43","4.85","5.24","4.26","5.79"
"cathedral","6","2.16","4.86","6","3.45","5.04"
"catheter","13","1.59","4.48","2.84","3.77","2.54"
"catholic","13","2.43","2.93","4.95","2.83","4.17"
"catnip","12","1.82","4.68","4.74","4.57","4.47"
"cattle","2","2.58","4.64","5.42","2.64","4.74"
"catwalk","10","2.33","4.15","5.65","4.52","5.95"
"cauldron","12","2.43","4.61","4.91","4.41","4.89"
"cauliflower","4","2.1","5","5.35","2.29","5.87"
"cause","2","2.44","2.43","5.14","3.48","5.17"
"caution","4","2.44","2.04","3.29","4","4.86"
"cautious","6","2.24","1.81","6.05","3.57","6"
"cavalier","10","1.92","2.63","5.48","4","5.52"
"cavalry","4","2.07","4.08","5.05","4.18","4.96"
"cave","2","2.58","4.96","5.15","4.39","4.45"
"cavern","6","2.11","4.57","5.38","3.63","4.41"
"caviar","10","2.06","4.7","5.53","3.8","5.53"
"cavity","6","2.32","4.5","2.6","4.77","4.96"
"cayenne","12","1.36","4.22","5.55","3.8","4.95"
"cease","8","2.26","2.39","3.95","3.64","5.17"
"cedar","6","2.07","4.83","6.32","3.21","5.1"
"ceiling","2","2.33","4.85","5.39","2.75","5.16"
"celebrate","2","2.43","2.9","7.84","6.73","6.12"
"celebration","2","2.43","3.47","7.53","5.9","7"
"celebrity","6","2.15","3.28","5.42","4.86","4.67"
"celery","4","2.17","4.8","5.71","2.81","6.28"
"celestial","10","2.12","2.86","6.76","4.68","5.18"
"celibacy","14","1.9","2.4","3.85","2.71","5.92"
"celibate","13","1.69","2.84","3.72","3","6.1"
"cell","4","2.26","4.44","4.09","4.23","4.86"
"cellar","2","2.22","4.68","4.7","3.14","4.75"
"cellist","12","1.06","4.31","5.84","3.85","5.25"
"cello","6","1.88","4.96","5.75","3.83","6.41"
"cellophane","4","1.74","4.54","5.05","3.64","4.81"
"cellular","8","2.43","3.11","5.68","3.67","5.74"
"celluloid","8","1.61","3.74","4.3","2.71","4.44"
"cement","6","2.44","4.97","4.62","3.28","4.84"
"cemetery","4","2.24","4.93","3.49","4.1","3.82"
"censor","8","2.58","3","4.1","4.45","4.15"
"censorship","8","2.44","1.79","3.43","4.25","3.26"
"census","8","2.21","3.3","4.91","3.54","4.91"
"cent","2","2.18","4.19","5.37","3.76","5.3"
"centennial","8","1.66","2.57","5.58","2.86","6.09"
"center","2","2.23","3.85","5.56","2.62","5.72"
"centerpiece","10","2.42","4.62","5.95","3.36","6.15"
"centipede","6","2.17","4.79","3.95","4.82","3.84"
"central","6","2.13","2.71","5.33","3.5","5.76"
"century","4","2.33","2.83","5.36","3.19","4.68"
"ceramic","10","2.1","4.04","5.74","3.57","5.47"
"cereal","2","2.58","4.83","6.45","3.05","5.77"
"cerebral","8","1.96","2.22","4.95","3.7","6.76"
"ceremonial","6","2.22","2.24","5.67","4.4","5.36"
"ceremony","6","2.58","3.57","6.38","3.83","5.67"
"certain","4","2.45","1.68","6.11","3","6.78"
"certainty","6","2.17","1.59","6.38","4.35","6.05"
"certificate","6","2.43","4.59","6","3.61","5.47"
"certified","8","2.58","2.52","6.06","4.57","6.52"
"certify","6","2.31","2.55","5.89","3.62","5.93"
"cervical","12","1.91","3.59","4.67","5","4.67"
"cervix","13","2.13","4.62","4.45","4.58","4.57"
"cesspool","8","1.58","4.19","2.95","4.42","3.65"
"chain","2","2.24","4.55","4.79","4.05","4.2"
"chair","2","2.44","4.58","5.89","2.86","5.28"
"chairman","4","2.18","4.31","5.57","3.55","5.57"
"chalet","14","1.27","4.36","5.1","3.83","4.76"
"chalice","12","1.76","4.83","5.19","3.48","5.76"
"chalk","2","2.43","4.9","5","2.9","5.48"
"challenge","4","2.34","2.11","5.95","5.25","4.68"
"challenger","6","2.32","2.68","5.33","4.74","5.12"
"chamber","6","2.26","4.59","4.73","4.58","5.5"
"chambermaid","10","1.85","4.4","4.65","3.59","5.04"
"chameleon","12","2.09","4.68","6.3","4.19","5.04"
"champ","2","2.15","3.29","6.35","5.04","6.56"
"champagne","6","2.2","4.82","6.86","3.8","6.47"
"champion","4","2.43","3.82","7.33","4.74","5.88"
"championship","4","2.44","3.23","6.74","6.9","6.4"
"chance","4","2.45","1.64","6.05","4.3","5.25"
"chancellor","8","2.07","4.2","4.91","3.67","5.04"
"chandelier","4","1.93","4.79","6.47","3.88","5.29"
"change","2","2.23","2.89","5.09","4.05","5.81"
"channel","2","2.33","4.18","5.67","2.68","5.52"
"chant","10","2.17","4","4.32","3.29","5.2"
"chaos","10","2.34","2.79","2.84","6.31","3.31"
"chap","4","2.16","3.9","5.1","2.54","5.05"
"chapel","4","2.25","4.6","6.67","2.45","3.8"
"chaperon","8","0.79","4","5.1","3.12","5.15"
"chaplain","4","1.6","4.33","5.1","3.56","5.18"
"chapter","4","2.58","3.43","5.7","3.86","6.21"
"character","6","2.43","2.93","6.14","4.35","7.37"
"characteristic","8","2.58","2.38","5.57","4.24","5.37"
"characterize","10","2.12","2","5.5","3.24","6.32"
"charade","8","2.11","1.93","3.95","4.23","4.45"
"charcoal","4","2.43","4.85","6.2","2.86","5"
"charge","2","2.58","2.96","4.61","4.25","5.17"
"charger","6","2.44","4.39","5.28","3.59","5.04"
"chariot","6","2.16","4.86","6.11","4.11","6.59"
"charisma","10","2.33","2.07","6.5","5.05","6.28"
"charitable","6","2.44","2.13","7.33","3.5","6.56"
"charity","4","2.58","2.62","6.85","3.22","6.08"
"charm","2","2.06","2.76","7.34","4.51","6.43"
"charmer","10","2.58","2.54","6.53","4.79","5.86"
"charming","8","2.43","2.14","7.05","5","6.95"
"chart","4","2.44","4.48","5.35","3.1","6.11"
"charter","8","2.16","3.15","5.55","3.84","5.74"
"chase","2","2.23","3.48","3.77","6.6","4.68"
"chaser","10","1.91","3.35","4.72","4.89","5.33"
"chaste","12","1.61","2.14","5.81","3.5","4.23"
"chastity","12","2.08","2","4","4.52","5.62"
"chat","4","2.32","3.66","5.75","4.27","6.22"
"chateau","13","1.63","4.39","6.21","3.45","6.13"
"chatter","4","2.43","3.33","5.9","4.44","5.95"
"chatterbox","4","2.17","3.04","4.6","3.94","4.76"
"chatty","6","2.43","2.76","4.42","4.59","5.42"
"chauffeur","6","2.1","4.43","5.42","4.7","5.33"
"cheap","2","2.27","2.11","5.24","4.47","5.89"
"cheapskate","6","2.06","3.26","3.76","2.8","5.32"
"cheat","2","2.24","2.23","3.05","4.91","4.37"
"check","2","2.35","4.11","6.55","3.38","4.67"
"checkbook","4","2.01","4.97","4.86","4.29","5.86"
"checker","2","1.88","4.04","4.94","3.68","5.79"
"checkered","6","2.09","3.67","4.71","3.57","4.33"
"checkers","2","2.25","4.89","5.24","3.24","6"
"checkmate","10","2.45","3.36","5.14","4.65","5.52"
"checkup","2","2.17","3.48","4.48","4.73","5.74"
"cheek","2","2.24","4.83","5.9","3.47","5.38"
"cheeky","12","2.32","2.03","5.7","5.47","5.57"
"cheer","2","2.34","2.77","7.1","5.33","6.37"
"cheerful","2","2.34","2.34","8","5.76","7.32"
"cheerleader","4","2.43","4.9","5.79","5.5","6"
"cheery","2","2.05","2.64","7.21","5.86","6.2"
"cheese","2","2.43","4.7","6.81","3.8","7.11"
"cheeseburger","2","2.43","4.93","7.2","4.58","6.2"
"cheesy","10","2.24","2.89","4.9","4.09","4.86"
"cheetah","8","2.19","4.7","6.27","5.31","5.43"
"chef","6","2.23","4.3","6.15","3.05","6.67"
"chemical","2","2.34","3.86","4.89","3.41","3.78"
"chemist","6","2.58","4.24","4.95","3.95","5.4"
"chemistry","6","2.43","3.64","5.74","4.59","5.12"
"chemotherapy","10","2.34","4.35","2.25","5.05","2.65"
"cherish","6","2.43","1.73","6.75","4.14","7.32"
"cherry","2","2.33","4.62","7.05","4.91","5.63"
"cherub","13","1.84","3.85","5.29","3.22","5.62"
"chess","4","2.58","4.7","5.05","2.86","5"
"chest","2","2.44","4.93","5.18","4.95","6.58"
"chestnut","2","2.15","4.7","5.68","3.43","5.63"
"chew","2","2.33","3.93","5.58","3.8","6.48"
"chic","13","1.73","2.26","6.47","5.1","6.04"
"chick","2","2.44","4.93","5.86","4.04","5.32"
"chicken","2","2.43","4.8","6.17","3.2","5.22"
"chief","2","2.24","4.26","5.83","3.25","4.89"
"chiffon","8","1.4","4.45","6","4.68","5.14"
