"word","AoA","Prevalence","concreteness","valence","arousal","dominance"
"addicted","8","2.58","2.13","2.89","4.77","2.84"
"additional","8","2.58","2.43","6.15","3.61","4.95"
"address","2","2.33","3.89","6.11","3.05","4.89"
"adept","14","1.66","2.23","6.14","4.17","6.5"
"adequate","8","2.2","1.97","4.7","3.64","6.89"
"adhere","12","2.17","2.62","5.17","3.52","3.9"
"adhesive","6","2.44","4.35","5.84","3.2","4.88"
"adjacent","10","2.42","3.63","5.15","2.78","4.27"
"adjective","4","2.58","2.43","5.95","3.64","6.11"
"adjourn","6","1.64","2.54","5.5","3.15","5.75"
"adjust","2","2.17","2.93","5.76","3","6"
"adjuster","6","1.77","3.23","4.25","3.5","5.84"
"adjustment","2","2.34","2.81","5.53","4.59","4.53"
"administer","8","2.07","2.53","4.4","3.86","6.33"
"administration","6","2.45","2.78","4.45","3.23","4.77"
"administrative","8","2.34","2.14","4.79","3.21","5.9"
"administrator","6","2.1","3.89","5.32","4.74","5.48"
"admirable","6","2.58","1.81","7","4.57","5.81"
"admiral","4","2.58","4.11","4.8","4.05","5.68"
"admiration","6","2.44","1.86","7.58","5.52","6.11"
"admire","2","2.35","2.04","7.35","5","7.33"
"admirer","4","2.32","2.93","7.05","6","6.27"
"admissible","8","1.87","1.88","5.16","2.9","6.21"
"admission","2","2.44","2.83","5.91","3.69","5.54"
"admit","4","2.32","2.32","5.56","3.35","4.56"
"admittance","8","2.25","2.26","6.29","3.6","5.96"
"adobe","4","1.86","4.19","5.25","3.89","5.55"
"adolescence","10","2.13","2.81","6","5.1","4.44"
"adolescent","8","2.02","3.48","5.38","4.2","4"
"adopt","4","2.42","2.36","6.9","4.71","5.45"
"adoption","4","2.58","3.03","6.68","4.82","5.62"
"adorable","4","2.22","1.86","7.4","4.66","6.83"
"adoration","8","2.21","2.19","6.47","4.36","6.54"
"adore","2","2.33","2.34","7.37","5.96","6.26"
"adrenalin","12","1.39","3.17","6.33","5.05","4.85"
"adrift","6","1.91","2.71","4.36","3.19","4.09"
"adult","2","2.58","4.4","5.9","4.36","6.46"
"adulterer","12","1.94","2.96","2.77","5.68","3.2"
"adultery","10","2.3","2.79","2.81","6.42","3.33"
"adulthood","2","2.33","2.5","5.05","4.28","6.11"
"advance","4","2.43","2.57","6.11","4.62","6.12"
"advanced","4","2.34","1.83","6.14","3.83","6.96"
"advancement","6","2.34","2.1","7.47","5.81","6.38"
"advantage","8","2.42","2","6.71","3.95","7.19"
"advantageous","6","1.97","2.07","6.79","5.7","6.22"
"adventure","2","2.42","2.59","7.4","6.36","6.36"
"adventurer","6","2.09","3.73","7","5.27","5.83"
"adventurous","6","2.44","1.95","7.37","6.67","5.71"
"adversary","13","2.14","2.93","4.55","4.41","5"
"adverse","12","2.34","2.23","3.68","3.89","3.35"
"adversity","14","2.1","1.44","4.26","3.82","4.63"
"advertise","2","2.29","2.81","5.16","4.29","5.74"
"advertisement","4","2.32","3.77","4.3","4.14","5.84"
"advice","2","2.58","2.73","5.78","3.05","5.83"
"advisable","6","2.25","1.93","5.62","4.36","5.86"
"advise","4","2.25","2.03","5.44","3.38","6.41"
"advisement","14","1.28","2.52","4.55","4.04","5.92"
"adviser","6","1.75","3.67","5.68","3.36","6.18"
"advisory","6","2.43","2.5","4.95","4.05","4.19"
"advocate","12","2.43","2.72","5.25","4.59","7.26"
"aerial","6","2.12","3.04","6.04","3.67","5.17"
"aerospace","12","1.9","3.19","5.79","4.52","5.17"
"aesthetic","12","2.13","2.33","5.43","2.88","5.5"
"affair","8","2.44","2.45","3.1","5.4","5.89"
"affect","6","2.26","1.93","5.65","3.61","6.39"
"affection","6","2.43","2.22","7.89","5.64","6.6"
"affectionate","6","2.26","2.28","7.23","4.77","6.9"
"affidavit","10","1.3","4","4.38","3.73","4.04"
"affiliation","10","2.34","1.93","5.32","3.9","5.3"
"affirmation","10","2.12","2.12","5.95","3.95","6.53"
"affirmative","10","2.32","1.93","5.94","3.64","6.78"
"affliction","10","2.33","2.27","3.76","5.1","4.17"
"afford","2","2.42","1.83","6.56","4.33","6.44"
"affordable","2","2.42","2.1","7.52","4.11","6.16"
"affront","14","1.58","1.83","4.53","4.5","5.04"
"afloat","2","2.44","3.34","5.57","4.13","4.96"
"aforementioned","8","1.86","1.93","5.21","3.5","4.96"
"afraid","2","2.33","2.7","2.25","5.12","2.71"
"aftermath","12","2.24","1.97","4.29","5.38","4.23"
"afternoon","2","2.45","3.7","6.68","3.48","5.71"
"age","2","2.44","2.86","5.78","3.71","4.67"
"agency","6","2.35","3.87","5.14","3.17","4.89"
"agenda","10","2.11","2.66","5.05","3.62","5.36"
"agent","6","2.43","3.61","5.23","3.43","5.65"
"aggravate","10","2.02","2.26","2.55","5.9","4.85"
"aggravation","10","2.01","1.53","2.48","5.35","4.45"
"aggression","10","2.18","2.68","3.18","5.69","4.65"
